s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-7.2145652E-004, 1.3563764E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2144295E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 9.2182621E-002, 0.0000000E+000,-1.4052726E-005,-1.0455905E-010, 0.0000000E+000, 0.0000000E+000,-1.4670040E-004, 0.0000000E+000, 0.0000000E+000,-1.6075323E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 1.8436524E-001, 0.0000000E+000,-1.4048961E-005, 2.9344276E-010,-4.5120934E-010, 0.0000000E+000,-5.6019809E-006, 0.0000000E+000,-1.9969893E-005,-1.9651100E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9076179E-001
 2.7654785E-001, 0.0000000E+000,-6.3436830E-006, 4.4333431E-012,-8.6332440E-010, 0.0000000E+000,-4.0192336E-006, 0.0000000E+000,-1.9464055E-005,-1.0363775E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9076524E-001
 3.6873049E-001, 0.0000000E+000,-6.3420246E-006,-1.1470789E-010,-1.8510374E-009, 0.0000000E+000,-2.5320945E-006, 0.0000000E+000,-8.7975331E-006,-8.8760848E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9076679E-001
 4.6091309E-001, 0.0000000E+000,-6.3403309E-006,-4.8264463E-011,-2.7593902E-009, 0.0000000E+000,-2.5677700E-006, 0.0000000E+000,-8.9845361E-006,-8.9109086E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9076838E-001
 5.5309570E-001, 0.0000000E+000,-2.7792312E-006,-1.2842006E-011,-3.6465620E-009, 0.0000000E+000,-1.8593835E-006, 0.0000000E+000,-9.0423115E-006,-4.6422741E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9076998E-001
 6.4527833E-001, 0.0000000E+000,-2.7784741E-006,-6.0187729E-012,-4.8610612E-009, 0.0000000E+000,-1.1308556E-006, 0.0000000E+000,-4.0165744E-006,-3.9141968E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9077070E-001
 7.3746097E-001, 0.0000000E+000,-2.7777333E-006,-1.0091043E-012,-6.0884970E-009, 0.0000000E+000,-1.1058139E-006, 0.0000000E+000,-3.9301962E-006,-3.8896367E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9077139E-001
 8.2964355E-001, 0.0000000E+000,-1.2189478E-006, 5.5456263E-012,-7.3184483E-009, 0.0000000E+000,-7.7183601E-007, 0.0000000E+000,-3.8422393E-006,-1.9980967E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9077207E-001
 9.2182618E-001, 0.0000000E+000,-1.2186492E-006, 9.7250066E-012,-8.6780289E-009, 0.0000000E+000,-4.4110464E-007, 0.0000000E+000,-1.5834522E-006,-1.6684222E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9077235E-001
 1.0000000E+000, 0.0000000E+000,-1.2184063E-006, 9.5466639E-012,-9.8177576E-009, 0.0000000E+000,-4.2758279E-007, 0.0000000E+000,-1.5195575E-006,-1.6557973E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9077258E-001
