s,C
Time,"T air 1"
 0.0000000E+000, 2.0000000E+001
 9.2182618E-002, 2.0000000E+001
 1.8436524E-001, 2.0000090E+001
 2.7654785E-001, 2.0010152E+001
 3.6873047E-001, 2.0033337E+001
 4.2313712E-001, 2.0060818E+001
 4.8298442E-001, 2.0091881E+001
 5.4881646E-001, 2.0122967E+001
 6.2123170E-001, 2.0152243E+001
 6.6812393E-001, 2.0171097E+001
 7.1501615E-001, 2.0197225E+001
 7.5185003E-001, 2.0216939E+001
 7.8868391E-001, 2.0239330E+001
 8.1923114E-001, 2.0259633E+001
 8.4977837E-001, 2.0282337E+001
 8.8032559E-001, 2.0305411E+001
 9.1087282E-001, 2.0330899E+001
 9.3680587E-001, 2.0353282E+001
 9.6273892E-001, 2.0376564E+001
 9.8867197E-001, 2.0401489E+001
 1.0113326E+000, 2.0423560E+001
 1.0339933E+000, 2.0446290E+001
 1.0566539E+000, 2.0471951E+001
 1.0793146E+000, 2.0497813E+001
 1.0993956E+000, 2.0521090E+001
 1.1194766E+000, 2.0546561E+001
 1.1395576E+000, 2.0572226E+001
 1.1596387E+000, 2.0597789E+001
 1.1797197E+000, 2.0623808E+001
 1.1998007E+000, 2.0649794E+001
 1.2178622E+000, 2.0673187E+001
 1.2359237E+000, 2.0697139E+001
 1.2539852E+000, 2.0721359E+001
 1.2720467E+000, 2.0745951E+001
 1.2901082E+000, 2.0770673E+001
 1.3081697E+000, 2.0795575E+001
 1.3262312E+000, 2.0820579E+001
 1.3442927E+000, 2.0845402E+001
 1.3623542E+000, 2.0870323E+001
 1.3804157E+000, 2.0895317E+001
 1.3984772E+000, 2.0920251E+001
 1.4165386E+000, 2.0945152E+001
 1.4324364E+000, 2.0966992E+001
 1.4483341E+000, 2.0988854E+001
 1.4642318E+000, 2.1010702E+001
 1.4801295E+000, 2.1032393E+001
 1.4960272E+000, 2.1054240E+001
 1.5119250E+000, 2.1075842E+001
 1.5278227E+000, 2.1097803E+001
 1.5437204E+000, 2.1119424E+001
 1.5596181E+000, 2.1141296E+001
 1.5755158E+000, 2.1162931E+001
 1.5914135E+000, 2.1184786E+001
 1.6073113E+000, 2.1206551E+001
 1.6232090E+000, 2.1228211E+001
 1.6391067E+000, 2.1250148E+001
 1.6550044E+000, 2.1271982E+001
 1.6709021E+000, 2.1293864E+001
 1.6867999E+000, 2.1315464E+001
 1.7026976E+000, 2.1337246E+001
 1.7185953E+000, 2.1358845E+001
 1.7344930E+000, 2.1381778E+001
