,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2024-12-23T21:54:48.086+08:00, 0.922E-01,   0.09218, 0.56406E+01
       2,2024-12-23T21:54:48.716+08:00, 0.922E-01,   0.18437, 0.60469E+01
       3,2024-12-23T21:54:49.782+08:00, 0.922E-01,   0.27655, 0.64688E+01
       4,2024-12-23T21:54:50.549+08:00, 0.922E-01,   0.36873, 0.68438E+01
       5,2024-12-23T21:54:51.731+08:00, 0.822E-01,   0.45089, 0.73906E+01
       6,2024-12-23T21:54:53.043+08:00, 0.822E-01,   0.53305, 0.79531E+01
       7,2024-12-23T21:54:53.936+08:00, 0.571E-01,   0.59020, 0.84375E+01
       8,2024-12-23T21:54:54.760+08:00, 0.453E-01,   0.63552, 0.88438E+01
       9,2024-12-23T21:54:55.742+08:00, 0.453E-01,   0.68083, 0.92344E+01
      10,2024-12-23T21:54:56.547+08:00, 0.374E-01,   0.71820, 0.97031E+01
      20,2024-12-23T21:55:04.255+08:00, 0.164E-01,   0.95936, 0.13031E+02
      23,2024-12-23T21:55:06.296+08:00, 0.790E-02,   1.00000, 0.13547E+02
